Symbol,Company Name,Security Type,IPO Year,IPO Start Date,IPO End Date,Listing Date,Issue Price (₹),Price Band Low (₹),Price Band High (₹),Face Value (₹),Lot Size (shares),Issue Size,Issue Type,Registrar,QIB Subscription (x),NII Subscription (x),RII Subscription (x),Employee Subscription (x),Total Subscription (x),QIB Shares Offered,NII Shares Offered,RII Shares Offered,Total Shares Offered,QIB Shares Bid For,NII Shares Bid For,RII Shares Bid For,Total Shares Bid For,Listing Day Close (₹),Listing Week Close (₹),Listing Day Gain (%),Listing Week Gain (%)
DBL,Dilip Buildcon Limited,EQ,2016,01-AUG-2016,03-AUG-2016,11-AUG-2016,219.0,214.0,219.0,10.0,,"Public Offer of Upto [.] Equity Shares aggregating upto Rs. 4300 million and Offer for Sale of upto 10,227,273 Equity Shares (Including Anchor portion of 8,958,592 Equity Shares)",100% Book Building,Link Intime India Private Limited,5.15200010577622,21.169379148701328,0.6342124615161941,,6.317842343308521,6201772.0,4548110.0,10612256.0,21362138.0,31951530.0,96280665.0,38744680.0,134962620.0,248.01226806640625,238.45628356933594,13.2476109892266,8.884147748555222
SPAL,S.P. Apparels Limited,EQ,2016,02-AUG-2016,04-AUG-2016,12-AUG-2016,268.0,258.0,268.0,10.0,,"Public Offer of Upto [.] Equity Shares aggregating upto Rs. 2,150  million and Offer for Sale of upto 9,00,000  Equity Shares (Including Anchor portion of 26,76,685 Equity Shares)",100% Book Building,Link Intime India Private Limited,0.6526608261744776,0.4127154316575331,0.5640083052520508,,0.5582790178758672,1939905.0,1385010.0,3231690.0,6556605.0,1266100.0,571615.0,421850.0,3660415.0,283.4769592285156,295.25787353515625,5.774984786759561,10.170848334013526
DHFL,Dewan Housing Finance Corporation Limited,NZ,2016,03-AUG-2016,04-AUG-2016,06-JUN-2018,1000.0,1000.0,1000.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
RBLBANK,RBL Bank Limited,EQ,2016,19-AUG-2016,23-AUG-2016,31-AUG-2016,225.0,224.0,225.0,10.0,,"Public Offer of Upto [.] Equity Shares aggregating upto Rs. 8,325 million and Offer for Sale of upto 16,909,628 Equity Shares (Including Anchor portion of 1,61,72,887 Equity Shares)",100% Book Building,Link Intime India Private Limited,61.240588742341465,84.69040049580698,2.029913268829748,,36.69234689673628,10864515.0,8111221.0,18926183.0,37901919.0,665349295.0,686942555.0,335646415.0,1390710360.0,288.482421875,292.9147033691406,28.21440972222222,30.184312608506946
DHFL,Dewan Housing Finance Corporation Limited,NZ,2016,29-AUG-2016,30-AUG-2016,06-JUN-2018,1000.0,1000.0,1000.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
MBAPL,Madhya Bharat Agro Products Limited,SME,2016,29-AUG-2016,02-SEP-2016,22-AUG-2019,67.0,24.0,24.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,204000.0,13584000.0,6642000.0,43032000.0,18.961193084716797,18.386240005493164,-71.69971181385553,-72.5578507380699
SREINFRA,Srei Infrastructure Finance Limited,YC,2016,07-SEP-2016,28-SEP-2016,21-MAR-2018,1000.0,1000.0,1000.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
CROWN,Crown Lifters Limited,SME,2016,09-SEP-2016,19-SEP-2016,08-FEB-2022,30.0,121.0,121.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,28000.0,542000.0,534000.0,1252000.0,34.7352180480957,31.321075439453125,15.78406016031901,4.403584798177083
HUSYS,Husys Consulting Limited,SME,2016,09-SEP-2016,19-SEP-2016,21-AUG-2015,50.0,69.0,69.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
LTTS,L&T Technology Services Limited,EQ,2016,12-SEP-2016,15-SEP-2016,23-SEP-2016,860.0,850.0,860.0,2.0,,"Public Offer of 10,4,00,000 Equity Shares (Including Anchor portion of 31,20,000 Equity Shares)",100% Book Building,Karvy Computershare Private Limited,2.871076923076923,0.0489948717948717,0.5633142857142858,,1.1124637362637362,2080000.0,1560000.0,3640000.0,7280000.0,5971840.0,76432.0,74912.0,8098736.0,780.8648071289062,760.1074829101562,-9.201766612917877,-11.61540896393532
